smiles
C=C
C=CC
C=CCC
OCCCCCCO
NCCCCCCN
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
Cc1ccc(N=C=O)cc1N=C=O
O=C(CCCCC(O)=O)O
O=C1CCCCCN1
C=CCOCC1CO1
